Server,Size,Download Time,Bandwidth
52.253.119.179,1,2.0349040031433105,3.9313893862523352
52.253.119.179,10,2.85439395904541,28.026965144907418
52.253.119.179,100,11.380539894104004,70.29543478991376
34.155.23.105,1,1.7258660793304443,4.635353864248626
34.155.23.105,10,2.108048915863037,37.94978351688197
34.155.23.105,100,8.416552782058716,95.05079106796944
20.164.37.45,1,2.7323689460754395,2.9278622901532287
20.164.37.45,10,4.339941024780273,18.433430210967053
20.164.37.45,100,17.40054416656494,45.97557365689724
34.84.32.225,1,60.009284019470215,0.13331270537079518
34.84.32.225,10,60.01867604255676,1.3329184393083797
34.84.32.225,100,60.016218185424805,13.329730266048044
20.206.136.251,1,1.3353641033172607,5.99087543249568
20.206.136.251,10,2.328826904296875,34.35205933613765
20.206.136.251,100,7.964443922042847,100.44643515988287
34.94.237.104,1,1.2228388786315918,6.5421537864026185
34.94.237.104,10,1.7382142543792725,46.02424574441689
34.94.237.104,100,6.525876998901367,122.5888873073581
20.115.21.116,1,0.8046820163726807,9.94181532235819
20.115.21.116,10,1.3246147632598877,60.39491799345445
20.115.21.116,100,4.873871088027954,164.1405744122159
34.175.240.213,1,1.5540306568145752,5.1479035918108975
34.175.240.213,10,2.1387040615081787,37.40582974513329
34.175.240.213,100,7.871429204940796,101.63338564969246
4.231.225.177,1,60.01963400840759,0.13328971647643426
4.231.225.177,10,60.01926136016846,1.3329054404706766
4.231.225.177,100,60.017717123031616,13.329397357118111
34.176.209.21,1,1.3833987712860107,5.782858974613069
34.176.209.21,10,2.1344621181488037,37.48016857257844
34.176.209.21,100,7.138121128082275,112.0743099823143
35.234.37.87,1,2.348099946975708,3.4070099998527716
35.234.37.87,10,3.2972412109375,24.26270778571693
35.234.37.87,100,11.015965938568115,72.62186579563681
